dow,vix,ford,oil,gold,corn,steel
30960,23.19,11.29,52.77,23.44,492.5,19.03
30996.98,21.91,11.52,52.27,23.47,499.25,18.91
31176.01,21.32,11.53,53.13,23.68,519.25,19.23
31188.38,21.58,10.86,53.24,23.83,512.75,20.56
30930.52,23.24,10.02,52.98,23.39,523.25,21.31
30814.26,24.34,9.83,52.36,23.14,527.75,20.88
30991.52,23.25,10.17,53.57,23.68,519,22.14
31060.47,22.21,9.78,52.91,23.6,522.25,22.6
31068.69,23.33,9.78,53.21,23.54,489.25,23.86
31008.69,24.08,9.3,52.25,23.52,490.25,22.77
31097.97,21.56,9,52.24,23.97,492.5,22.29
31041.13,22.37,9.06,50.83,24.77,487.25,20.45
30829.4,25.07,8.84,50.63,24.5,491.5,21.32
30391.6,25.34,8.65,49.93,24.28,482.5,18.2
30223.89,26.97,8.52,47.62,24.62,479.5,17.14
30606.48,22.75,8.79,48.52,22.78,473,16.77
30409.56,22.77,8.86,48.4,23.24,462,16.84
30335.67,23.08,8.82,48,22.91,453.5,16.44
30403.97,21.7,8.89,47.62,22.84,448,16.31
30129.83,23.31,8.99,48.12,22.83,441.5,16.87
30015.51,24.23,8.79,47.02,22.52,437.25,16.88
30216.45,25.16,8.93,47.74,23.02,430.25,17.38
30179.05,21.57,8.95,49.1,23.27,432,16.87
30303.37,21.93,9.08,48.36,23.59,424.25,18.56
30154.54,22.5,9.04,47.82,23.07,423.75,18.37
30199.31,22.89,9.15,47.62,22.87,420.5,17.92
29861.55,24.72,8.91,46.99,22.44,419.25,17.26
30046.37,23.31,9.02,46.57,22.9,417.5,18.31
29999.26,22.52,9.12,46.78,23.09,420,18.85
30068.81,22.27,9.45,45.52,23.36,418,18.25
30173.88,20.68,9.25,45.6,23.9,415.5,19.47
30069.79,21.3,9.22,45.76,23.95,412,17.19
30218.26,20.79,9.34,46.26,23.5,415.75,16.69
29969.52,21.28,9.21,45.64,23.61,417.75,15.22
29883.79,21.17,9.2,45.28,23.96,409,15.57
29823.92,20.77,9.24,44.55,23.83,414,15.06
29638.64,20.57,9.08,45.34,23.14,418.25,14.19
29872.47,21.25,9.08,45.71,22.83,420,14.38
30046.24,21.64,9.45,44.91,22.79,416.5,14.25
29591.27,22.66,8.86,43.06,23.24,423.5,11.56
29263.48,23.7,8.74,42.15,24.28,421.5,10.96
29483.23,23.11,8.82,41.74,24.18,418.75,11.09
29438.42,23.84,8.82,41.82,24.46,418.5,10.93
29783.35,22.71,8.75,41.43,25.37,417.25,11.1
29950.44,22.45,8.8,41.34,25.86,409,11.1
29479.81,23.1,8.54,40.13,25.89,403.75,10.58
29080.17,25.35,8.21,41.12,25.91,406.25,9.97
29397.63,23.45,8.33,41.45,25.79,416.25,10.23
29420.92,24.8,8.38,41.36,25.94,406.25,10.37
29157.97,25.75,8.2,40.29,26.9,401.75,10.53
28323.4,24.86,7.79,37.14,28.87,405.75,9.9
28390.18,27.58,7.99,38.79,29.32,404,9.67
27847.66,29.57,7.64,39.15,27.42,396.5,9.09
27480.03,35.55,7.88,37.66,27.78,395.25,9.96
26925.05,37.13,7.71,36.81,27.16,393,9.85
26501.6,38.02,7.73,35.79,26.73,394.25,9.66
26659.11,37.59,7.9,36.17,26.17,393,9.83
26519.95,40.28,7.7,37.39,25.92,400.5,9.35
27463.19,33.35,7.92,39.57,27.09,415.5,10.07
27685.38,32.46,8.03,38.56,26.63,412.75,9.61
28335.57,27.55,8.16,39.85,26.81,414,9.95
28363.66,28.11,8.21,40.64,26.89,410.75,9.36
28210.82,28.65,7.85,40.03,27.37,407.75,8.92
28308.79,29.35,7.74,41.46,27.07,403.5,8.83
28195.42,29.18,7.59,40.83,27.02,400.75,8.99
28606.31,27.41,7.67,40.88,27.57,401.75,8.96
28494.2,26.97,7.62,40.96,27.75,393.5,8.66
28514,26.4,7.57,41.04,28.31,388,8.56
28679.81,26.07,7.76,40.2,27.96,388,8.33
28837.52,25.07,7.67,39.43,28.04,387.25,8.36
28586.9,25,7.25,40.6,28.05,386.5,8.36
28425.51,26.36,7.35,41.19,27.27,386.5,8.53
28303.46,28.06,7.23,39.95,26.95,384,8.47
27772.76,29.48,6.98,40.67,27.06,378.5,7.67
28148.64,27.96,7.02,39.22,28.37,377.75,7.83
27682.81,27.63,6.89,37.05,27.89,377.25,7.65
27816.9,26.7,6.75,38.72,28.26,378,7.48
27781.7,26.37,6.66,40.22,28.11,362,7.34
27452.66,26.27,6.6,39.29,28.28,361,7.36
27584.06,26.19,6.69,40.6,27.76,360.5,7.58
27173.96,26.38,6.51,40.25,27.7,363,7.11
26815.44,28.51,6.66,40.31,27.65,363,7.07
26763.13,28.58,6.64,39.93,27.14,365.75,7.17
27288.18,26.86,6.78,39.6,28.42,365.75,7.45
27147.7,27.78,6.87,39.31,28.19,368.25,7.96
27657.42,25.83,7.23,41.11,28.89,373.25,8.82
27901.98,26.46,7.28,40.97,29.14,368,8.41
28032.38,26.04,7.02,40.16,29.99,361.75,7.76
27995.6,25.59,7.04,38.28,29.99,365.25,7.52
27993.33,25.85,7.12,37.26,29.93,357.5,7.4
27665.64,26.87,7,37.33,29.75,355.5,7.2
27534.58,29.71,6.91,37.3,30.11,349.75,7.3
27940.47,28.81,6.97,38.05,30.46,348.5,7.39
27500.89,31.46,7.03,36.76,29.2,346,7.46
28133.31,30.75,6.9,39.77,29.05,343.5,7.88
28292.73,33.6,6.82,41.37,29.26,343.75,7.68
29100.5,26.57,6.95,41.51,29.61,345.25,7.81
28645.66,26.12,6.83,42.76,29.33,343.25,7.8
28430.05,26.41,6.82,42.61,29.65,346,7.83
28653.87,22.96,6.94,42.97,29.2,340.75,7.96
28492.27,24.47,6.91,43.04,28.58,339,7.7
28331.92,23.27,6.82,43.39,29.37,337.25,7.87
28248.44,22.03,6.94,43.35,28.75,334.75,7.82
28308.46,22.37,6.98,42.62,28.97,327.5,7.86
27930.33,22.54,6.66,42.34,29.31,324.25,7.51
27739.73,22.72,6.84,42.58,29.95,320.75,7.93
27692.88,22.54,6.87,42.93,28.98,323.5,7.9
27778.07,21.51,6.89,42.89,30.04,325.75,7.93
27844.91,21.35,6.98,42.89,30.13,326.5,7.87
27931.02,22.05,7.04,42.01,26.99,321.5,7.79
27896.72,22.13,7.03,42.24,27.14,314.75,7.64
27976.84,22.28,7.11,42.67,26.18,308,7.93
27686.91,24.03,7.23,41.61,26.25,310.25,7.68
27791.44,22.13,7.09,41.94,28.72,307.5,7.89
27433.48,22.21,6.86,41.22,28.87,307.25,7.26
27386.98,22.65,6.93,41.95,29.5,309.5,7.13
27201.52,22.99,6.96,42.19,29.84,309,7.32
26828.47,23.76,6.86,41.7,29.75,308.25,7.13
26664.4,24.28,6.69,41.01,28.72,315,6.87
26428.32,24.46,6.61,40.27,28.91,314.5,6.66
26313.65,24.76,6.74,39.92,28.25,315.25,7.36
26539.57,24.1,6.92,41.27,28.78,315.25,7.74
26379.28,25.44,7.01,41.04,29.59,320,7.54
26584.77,24.74,6.93,41.6,29.91,323.25,8.1
26469.89,25.84,6.88,41.29,28.44,325.5,7.89
26652.33,26.08,6.98,41.07,27.99,325,7.93
27005.84,24.32,6.84,41.9,28.52,322.25,7.95
26840.4,24.84,6.68,41.96,28.23,322,7.99
26680.87,24.46,6.66,40.81,28.12,326,7.58
26671.95,25.68,6.8,40.59,27.34,330.25,7.7
26734.71,28,6.86,40.75,26.69,326,8.05
26870.1,27.76,6.74,41.2,27.09,322.75,8.05
26642.59,29.52,6.36,40.29,27.05,324.5,7.82
26085.8,32.19,6.06,40.1,26.13,332,7.3
26075.3,27.29,6.1,40.55,27.11,340,7.36
25706.09,29.26,5.84,39.62,27.59,348.25,6.71
26067.28,28.08,6.09,40.9,27.72,341,6.81
25890.18,29.43,6.12,40.62,27.02,341.75,6.93
26287.03,27.94,6.19,40.63,26.61,345.25,7.12
25827.36,27.68,6.05,40.65,26.27,342.25,7.07
25734.97,28.62,5.98,39.82,26.81,337.5,6.88
25812.88,30.43,6.08,39.27,26.94,323.75,7.22
25595.8,31.78,6.01,39.7,26.13,316,7.28
25015.55,34.73,5.91,38.49,25.87,313.5,7.16
25745.6,32.22,6.03,38.72,25.73,315,7.58
25445.94,33.84,5.95,38.01,25.71,323.75,7.45
26156.1,31.37,6.15,40.37,25.68,321.25,8
26024.96,31.77,6.28,40.46,25.45,328,8.05
25871.46,35.12,6.23,39.75,24.49,327.5,8.11
26080.1,32.94,6.33,38.84,23.94,328.75,8.15
26119.61,33.47,6.33,37.96,24.25,325,9.38
26289.98,33.67,6.55,38.38,24.38,328,10.47
25763.16,34.4,6.5,37.12,24.74,325.5,9.52
25605.54,36.09,6.46,36.26,24.07,328.25,9.23
25128.17,40.79,6.13,36.34,24.31,325.25,8.33
26989.99,27.57,6.81,39.6,25.08,324.25,10.04
27272.3,27.57,7.24,38.94,24.33,326.75,10.39
27572.44,25.81,7.53,38.19,23.56,331,10.92
27110.98,24.52,7.34,39.55,23.29,328.25,10.19
26281.82,25.81,6.57,37.41,23.43,324,9.32
26269.89,25.66,6.19,37.29,23.22,321.25,8.69
25742.65,26.84,5.9,36.81,23.95,322,8.46
25475.02,28.23,5.87,35.44,24.78,319.25,8.46
25383.11,27.51,5.71,35.49,24,323.25,8.04
25400.64,28.59,5.85,33.71,23.95,319.5,8.27
25548.27,27.62,6.03,32.81,23.92,319.25,8.53
24995.11,28.01,5.84,34.35,24.73,316.5,8
24465.16,28.16,5.65,33.25,26.32,316,7.37
24474.12,29.53,5.63,33.92,26.26,316.25,7.48
24575.9,27.99,5.49,33.49,27.25,317.25,7.92
24206.86,30.53,5.3,32.5,28.1,320.5,7.66
24597.37,29.3,5.31,31.82,27.2,318,7.61
23685.42,31.89,4.9,29.43,28.04,316.75,7.17
23625.34,32.61,4.89,27.56,27.14,320.25,7.24
23247.97,35.28,4.72,25.29,26.12,320,7.23
23764.78,33.04,4.98,25.78,26.04,312.75,7.78
24221.99,27.57,5.12,24.14,26.02,318,8.2
24331.32,27.98,5.24,24.74,27.39,317.5,8.54
23875.89,31.44,4.87,23.55,27.26,313.25,8.07
23664.64,34.12,4.87,23.99,26.56,311,7.99
23883.09,33.61,4.97,24.56,28.19,310.5,8.06
23749.76,35.97,4.86,20.39,27.38,305.5,8.3
23723.69,37.19,4.92,19.78,26.93,308,7.51
24345.72,34.15,5.09,18.84,25.72,303.5,7.68
24633.86,31.23,5.26,15.06,26.55,300.25,8
24101.55,33.57,5.38,12.34,26.96,301.25,7.54
24133.78,33.29,5.17,12.78,26.93,304.25,7.28
23775.27,35.93,4.87,16.94,27.1,312,6.82
23515.26,41.38,4.89,16.5,26.74,315,6.71
23475.82,41.98,4.77,13.78,26.48,308.25,6.51
23018.88,45.41,4.77,10.01,24.82,301,6.69
23650.44,43.83,4.98,37.63,24.92,313.5,6.59
24242.49,38.15,5.12,18.27,24.54,319.5,6.79
23537.68,40.11,4.94,19.87,25,317.75,6.51
23504.35,40.84,5.03,19.87,24.47,317.5,6.55
23949.76,37.76,5.29,20.11,24.43,325.75,6.86
23390.77,41.17,5.16,22.41,24.37,326.5,6.8
23719.37,41.67,5.37,22.76,22.51,328,6.81
23433.57,43.35,5.03,25.09,20.41,328.25,6.76
22653.86,46.7,4.71,23.63,20.31,328,6.46
22679.99,45.24,4.53,26.08,20.55,325.5,6.35
21052.53,46.8,4.24,28.34,19.95,328,5.96
21413.44,50.91,4.36,25.32,19.85,333,6.14
20943.51,57.06,4.4,20.31,18.87,333.5,6.39
21917.16,53.54,4.83,20.48,18.32,333.5,6.31
22327.48,57.08,5.03,20.09,19.29,340,5.82
21636.78,65.54,5.19,21.51,19.24,342.5,5.78
22552.17,61,5.25,22.6,19.58,343.75,6.11
21200.55,63.95,5.39,24.49,19.11,345.75,5.87
20704.91,61.67,4.95,24.01,19.5,338,5.95
18591.93,61.59,4.01,23.36,16.93,338.25,5.44
19173.98,66.04,4.33,22.43,15.88,342.25,5.29
20087.19,72,4.47,25.22,16.08,336.5,5.28
19898.92,76.45,4.5,20.37,15.88,332,4.9
21237.38,75.91,5.01,26.95,17.71,342.75,5.58
20188.52,82.69,5.01,28.7,16.33,354,5.32
23185.62,57.83,5.63,31.73,15.67,370,5.42
21200.62,75.47,5.35,31.5,16.88,367,5.07
23553.22,53.9,5.9,32.98,18.79,377,5.99
25018.16,47.3,6.26,34.36,19.87,377.5,6.62
23851.02,54.46,5.9,31.13,19.93,368.5,6.03
25864.78,41.94,6.49,41.28,21.23,377,7.08
26121.28,39.62,6.74,45.9,21.16,382,7.44
27090.86,31.99,7.08,46.78,20.55,380,8.05
25917.41,36.82,6.97,47.18,20.62,375.75,7.91
26703.32,33.42,7.2,46.75,19.86,366,8.27
25409.36,40.11,6.96,44.76,19.04,362.75,8.02
25766.64,39.16,6.97,47.09,19.78,361.75,7.77
26957.59,27.56,7.21,48.73,21.09,368.25,8.26
27081.36,27.85,7.23,49.9,21.25,371.25,8.5
27960.8,25.03,7.57,51.43,22.03,370,9.14
28992.41,17.08,7.89,53.38,21.44,376.25,9.43
29219.98,15.56,8.03,53.78,20.77,378,9.27
29348.03,14.38,8,53.29,21,378.5,9.2
29232.19,14.83,8.06,52.05,20.58,378,8.82
29398.08,13.68,8.1,52.05,19.72,376.25,8.79
29423.31,14.15,8.25,51.42,18.93,379,8.97
29551.42,13.74,8.24,51.17,18.41,378.25,9.12
29276.34,15.18,8.1,49.94,18.44,378,9.17
29276.82,15.04,8.06,49.57,18.43,379,9.01
29102.51,15.47,8.11,50.32,18.19,380,9.06
29379.77,14.96,8.25,50.95,18.35,376,9.44
29290.85,15.15,8.31,50.75,18.02,379.5,9.49
28807.63,16.05,9.18,49.61,18.02,378.25,9.12
28399.81,17.97,8.98,50.11,18.28,376.5,9.03
28256.03,18.84,8.82,51.56,18.52,378.75,9.07
28859.44,15.49,8.84,52.14,18.44,378.5,9.4
28734.45,16.39,8.86,53.33,18.37,382.75,9.32
28722.85,16.28,8.97,53.48,18,378.5,9.18
28535.8,18.23,8.89,53.14,18.62,377.25,9.09
28989.73,14.56,9,54.19,18.71,386.5,9.4
29160.09,12.98,9.14,55.59,18.43,387.5,9.69
29186.27,12.91,9.16,56.74,18.29,386.75,9.97
29196.04,12.85,9.21,58.34,18.35,384.25,9.95
29348.1,12.1,9.16,58.54,17.95,376.75,10.5
29297.64,12.32,9.17,58.52,18.09,375.25,10.46
29030.22,12.42,9.19,57.81,17.9,386.5,10.5
28939.67,12.39,9.29,58.23,17.56,388.25,10.91
28907.05,12.32,9.24,58.08,17.45,385.5,10.72
28823.77,12.56,9.25,59.04,17.85,376.5,10.72
28956.9,12.54,9.26,59.56,17.6,382.25,10.85
28745.09,13.45,9.25,59.61,17.82,382.25,11.1
28583.68,13.79,9.25,62.7,18.47,383.5,11.13
28703.38,13.85,9.16,63.27,18.39,382.75,10.79
28634.88,14.02,9.21,63.05,18.57,385.5,10.74
28868.8,12.47,9.42,61.18,18.49,387.25,10.82
28538.44,13.78,9.3,61.06,18.59,386.25,11.41
28462.14,14.82,9.25,61.68,18.61,386.75,11.24
28645.26,13.43,9.36,61.72,18.37,388,11.14
28621.39,12.65,9.45,61.68,18.36,386.5,11.43
28551.53,12.61,9.44,60.52,17.76,387.25,11.81
28455.09,12.51,9.48,60.44,17.45,386,11.92
28376.96,12.5,9.41,61.22,17.71,385,13.36
28239.28,12.58,9.54,60.93,17.93,385.75,13.61
28267.16,12.29,9.39,60.94,17.39,386.25,13.48
28235.89,12.14,9.39,60.21,17.42,383.25,13.18
28135.38,12.63,9.23,60.07,17.58,366.25,13.71
28132.05,13.94,9.32,59.18,17.56,358.25,14.23
27911.3,14.99,9.11,58.76,17.62,357,13.9
27881.72,15.68,9.07,59.24,17.14,362.5,13.89
27909.6,15.86,9.01,59.02,16.85,365,14.09
28015.06,13.62,9.02,59.2,16.89,364.75,13.94
27677.79,14.52,8.93,58.43,17.16,365.25,13.33
27649.78,14.8,8.95,58.43,17.03,367.75,13.34
27502.81,15.96,8.89,56.1,17.28,371.5,13.14
27783.04,14.91,9.01,55.96,16.89,371,13.67
28164,11.75,9.1,58.11,16.7,362.25,13.93
28121.68,11.54,9.01,58.41,16.86,367,13.68
28066.47,11.87,9,58.01,16.43,368.25,13.79
27875.62,12.34,8.89,57.77,16.49,367.5,13.46
27766.29,13.13,8.71,58.58,16.64,366.25,12.88
27821.09,12.78,8.73,57.11,16.99,365.75,12.78
27934.02,12.86,8.9,55.21,17.05,367.75,12.83
28036.22,12.46,8.95,57.05,16.89,367.5,13.28
28004.89,12.05,8.95,57.72,16.57,370.75,13.08
27781.96,13.05,8.79,56.77,16.66,374.5,12.91
27783.59,13,8.81,57.12,16.66,375,13.42
27691.49,12.68,9.04,56.8,16.44,372.75,13.73
27691.49,12.69,9.08,56.86,16.38,372.5,13.8
27681.24,12.07,9.04,57.24,16.37,372.5,13.57
27674.8,12.73,8.89,57.15,16.36,373.75,13.56
27492.56,12.62,8.92,56.35,16.9,377.5,12.84
27492.63,13.1,9.02,57.23,16.54,380.5,13.1
27462.11,12.83,9,56.54,16.64,383,13.3
27347.36,12.3,8.89,56.2,17.01,386.25,13.21
27046.23,13.22,8.59,54.18,17.36,384.75,11.51
27186.69,12.33,8.54,55.06,17.05,385.25,12.01
27071.46,13.2,8.64,55.54,16.77,382,12.22
27090.72,13.11,8.61,55.81,16.72,383.25,12.31
26958.06,12.65,8.72,56.66,17.2,385.75,11.71
26805.53,13.71,8.6,56.23,17.17,385.25,11.27
26833.95,14.01,9.21,55.97,16.57,384,11.17
26788.1,14.46,9.07,54.16,16.6,385,11.22
26827.64,14,9.03,53.31,16.83,386.5,10.64
26770.2,14.25,9.29,53.78,17.19,389.75,10.72
27025.88,13.79,9.11,53.93,17.09,391.5,10.63
27001.98,13.68,9.07,53.36,16.94,387.5,10.48
27024.8,13.54,9.07,52.81,16.66,392.5,11.43
26787.36,14.57,8.82,53.59,17.1,393.25,11.16
26816.59,15.58,8.78,54.7,17,380.5,11.34
26496.67,17.57,8.62,53.55,17.91,378.25,10.14
26346.01,18.64,8.56,52.59,17.87,393,10.09
26164.04,20.28,8.54,52.63,18.06,386,11.03
26478.02,17.86,8.68,52.75,17.62,385,10.92
26573.72,17.04,8.74,52.81,17.75,383.75,10.77
26201.04,19.12,8.71,52.45,17.26,385.5,10.79
26078.62,20.56,8.61,52.64,17.37,385.5,10.94
26573.04,18.56,8.9,53.62,17.22,385.25,11.93
26916.83,16.24,9.16,54.07,17.33,371.5,11.55
